--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
10     if (size < 0 || size > INT_MAX - FF_INPUT_BUFFER_PADDING_SIZE)                                  {'linevul': 2, 'codebert': 0, 'devign': 31, 'regvd': 22, 'vulberta_cnn': 28, 'vulberta_mlp': 17}
12         return -1;                                                                                  {'linevul': 20, 'codebert': 4, 'devign': 45, 'regvd': 54, 'vulberta_cnn': 41, 'vulberta_mlp': 24}
16     if (st->codec->codec_id == AV_CODEC_ID_AAC) {                                                   {'linevul': 4, 'codebert': 1, 'devign': 24, 'regvd': 10, 'vulberta_cnn': 43, 'vulberta_mlp': 40}
18         /* The magic cookie format for AAC is an mp4 esds atom.                                     {'linevul': 10, 'codebert': 8, 'devign': -1, 'regvd': 31, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
20            The lavc AAC decoder requires the data from the codec specific                           {'linevul': 7, 'codebert': 11, 'devign': -1, 'regvd': 35, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
22            description as extradata input. */                                                       {'linevul': 14, 'codebert': 12, 'devign': -1, 'regvd': 50, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
24         int strt, skip;                                                                             {'linevul': 17, 'codebert': 17, 'devign': 44, 'regvd': 47, 'vulberta_cnn': 27, 'vulberta_mlp': 42}
26         MOVAtom atom;                                                                               {'linevul': 18, 'codebert': 16, 'devign': 40, 'regvd': 53, 'vulberta_cnn': 44, 'vulberta_mlp': 55}
30         strt = avio_tell(pb);                                                                       {'linevul': 13, 'codebert': 13, 'devign': 38, 'regvd': 24, 'vulberta_cnn': 3, 'vulberta_mlp': 28}
32         ff_mov_read_esds(s, pb, atom);                                                              {'linevul': 5, 'codebert': 9, 'devign': 37, 'regvd': 23, 'vulberta_cnn': 18, 'vulberta_mlp': 43}
34         skip = size - (avio_tell(pb) - strt);                                                       {'linevul': 8, 'codebert': 15, 'devign': 16, 'regvd': 13, 'vulberta_cnn': 48, 'vulberta_mlp': 38}
36         if (skip < 0 || !st->codec->extradata ||                                                    {'linevul': 6, 'codebert': 14, 'devign': 8, 'regvd': 29, 'vulberta_cnn': 11, 'vulberta_mlp': 54}
38             st->codec->codec_id != AV_CODEC_ID_AAC) {                                               {'linevul': 0, 'codebert': 10, 'devign': -1, 'regvd': 17, 'vulberta_cnn': 54, 'vulberta_mlp': 45}
40             av_log(s, AV_LOG_ERROR, "invalid AAC magic cookie\n");                                  {'linevul': 1, 'codebert': 3, 'devign': -1, 'regvd': 11, 'vulberta_cnn': 10, 'vulberta_mlp': 11}
42             return AVERROR_INVALIDDATA;                                                             {'linevul': 11, 'codebert': -1, 'devign': 21, 'regvd': 38, 'vulberta_cnn': 14, 'vulberta_mlp': 6}
44         }                                                                                           {'linevul': 23, 'codebert': -1, 'devign': -1, 'regvd': 64, 'vulberta_cnn': 37, 'vulberta_mlp': 0}
46         avio_skip(pb, skip);                                                                        {'linevul': 15, 'codebert': -1, 'devign': 42, 'regvd': 26, 'vulberta_cnn': 1, 'vulberta_mlp': 10}
48     } else if (st->codec->codec_id == AV_CODEC_ID_ALAC) {                                           {'linevul': 3, 'codebert': -1, 'devign': 15, 'regvd': 5, 'vulberta_cnn': 49, 'vulberta_mlp': 20}
50 #define ALAC_PREAMBLE 12                                                                            {'linevul': 22, 'codebert': -1, 'devign': 5, 'regvd': 45, 'vulberta_cnn': 51, 'vulberta_mlp': 16}
52 #define ALAC_HEADER   36                                                                            {'linevul': 21, 'codebert': -1, 'devign': 3, 'regvd': 49, 'vulberta_cnn': 38, 'vulberta_mlp': 23}
54 #define ALAC_NEW_KUKI 24                                                                            {'linevul': 19, 'codebert': -1, 'devign': 2, 'regvd': 46, 'vulberta_cnn': 17, 'vulberta_mlp': 29}
56         uint8_t preamble[12];                                                                       {'linevul': -1, 'codebert': -1, 'devign': 25, 'regvd': 41, 'vulberta_cnn': 20, 'vulberta_mlp': 53}
58         if (size < ALAC_NEW_KUKI) {                                                                 {'linevul': -1, 'codebert': -1, 'devign': 14, 'regvd': 28, 'vulberta_cnn': 35, 'vulberta_mlp': 37}
60             av_log(s, AV_LOG_ERROR, "invalid ALAC magic cookie\n");                                 {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 9, 'vulberta_cnn': 13, 'vulberta_mlp': 7}
62             avio_skip(pb, size);                                                                    {'linevul': -1, 'codebert': -1, 'devign': 26, 'regvd': 21, 'vulberta_cnn': 24, 'vulberta_mlp': 39}
64             return AVERROR_INVALIDDATA;                                                             {'linevul': -1, 'codebert': -1, 'devign': 20, 'regvd': 37, 'vulberta_cnn': 33, 'vulberta_mlp': 19}
66         }                                                                                           {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 63, 'vulberta_cnn': 36, 'vulberta_mlp': 2}
68         avio_read(pb, preamble, ALAC_PREAMBLE);                                                     {'linevul': -1, 'codebert': -1, 'devign': 29, 'regvd': 16, 'vulberta_cnn': 9, 'vulberta_mlp': 30}
72         st->codec->extradata = av_mallocz(ALAC_HEADER + FF_INPUT_BUFFER_PADDING_SIZE);              {'linevul': -1, 'codebert': -1, 'devign': 1, 'regvd': 2, 'vulberta_cnn': 7, 'vulberta_mlp': 22}
74         if (!st->codec->extradata)                                                                  {'linevul': -1, 'codebert': -1, 'devign': 7, 'regvd': 33, 'vulberta_cnn': 15, 'vulberta_mlp': 35}
76             return AVERROR(ENOMEM);                                                                 {'linevul': -1, 'codebert': -1, 'devign': 35, 'regvd': 44, 'vulberta_cnn': 12, 'vulberta_mlp': 34}
80         /* For the old style cookie, we skip 12 bytes, then read 36 bytes.                          {'linevul': -1, 'codebert': -1, 'devign': 28, 'regvd': 40, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
82          * The new style cookie only contains the last 24 bytes of what was                         {'linevul': -1, 'codebert': -1, 'devign': 43, 'regvd': 51, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
84          * 36 bytes in the old style cookie, so we fabricate the first 12 bytes                     {'linevul': -1, 'codebert': -1, 'devign': 27, 'regvd': 48, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
86          * in that case to maintain compatibility. */                                               {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 52, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
88         if (!memcmp(&preamble[4], "frmaalac", 8)) {                                                 {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 42, 'vulberta_cnn': 50, 'vulberta_mlp': 25}
90             if (size < ALAC_PREAMBLE + ALAC_HEADER) {                                               {'linevul': -1, 'codebert': -1, 'devign': 11, 'regvd': 27, 'vulberta_cnn': 26, 'vulberta_mlp': 47}
92                 av_log(s, AV_LOG_ERROR, "invalid ALAC magic cookie\n");                             {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 8, 'vulberta_cnn': 22, 'vulberta_mlp': 13}
94                 av_freep(&st->codec->extradata);                                                    {'linevul': -1, 'codebert': -1, 'devign': 41, 'regvd': 19, 'vulberta_cnn': 21, 'vulberta_mlp': 44}
96                 return AVERROR_INVALIDDATA;                                                         {'linevul': -1, 'codebert': -1, 'devign': 19, 'regvd': 36, 'vulberta_cnn': 34, 'vulberta_mlp': 27}
98             }                                                                                       {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 62, 'vulberta_cnn': 39, 'vulberta_mlp': 52}
100             avio_read(pb, st->codec->extradata, ALAC_HEADER);                                      {'linevul': -1, 'codebert': -1, 'devign': 22, 'regvd': 1, 'vulberta_cnn': 16, 'vulberta_mlp': 36}
102             avio_skip(pb, size - ALAC_PREAMBLE - ALAC_HEADER);                                     {'linevul': -1, 'codebert': -1, 'devign': 0, 'regvd': 6, 'vulberta_cnn': 29, 'vulberta_mlp': 31}
104         } else {                                                                                   {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 57, 'vulberta_cnn': 47, 'vulberta_mlp': 9}
106             AV_WB32(st->codec->extradata, 36);                                                     {'linevul': -1, 'codebert': -1, 'devign': 23, 'regvd': 15, 'vulberta_cnn': 8, 'vulberta_mlp': 14}
108             memcpy(&st->codec->extradata[4], "alac", 4);                                           {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 25, 'vulberta_cnn': 57, 'vulberta_mlp': 21}
110             AV_WB32(&st->codec->extradata[8], 0);                                                  {'linevul': -1, 'codebert': -1, 'devign': 36, 'regvd': 12, 'vulberta_cnn': 6, 'vulberta_mlp': 18}
112             memcpy(&st->codec->extradata[12], preamble, 12);                                       {'linevul': -1, 'codebert': -1, 'devign': 17, 'regvd': 20, 'vulberta_cnn': 40, 'vulberta_mlp': 32}
114             avio_read(pb, &st->codec->extradata[24], ALAC_NEW_KUKI - 12);                          {'linevul': -1, 'codebert': -1, 'devign': 4, 'regvd': 0, 'vulberta_cnn': 52, 'vulberta_mlp': 26}
116             avio_skip(pb, size - ALAC_NEW_KUKI);                                                   {'linevul': -1, 'codebert': -1, 'devign': 9, 'regvd': 7, 'vulberta_cnn': 45, 'vulberta_mlp': 4}
118         }                                                                                          {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 61, 'vulberta_cnn': 30, 'vulberta_mlp': 51}
120         st->codec->extradata_size = ALAC_HEADER;                                                   {'linevul': -1, 'codebert': -1, 'devign': 12, 'regvd': 18, 'vulberta_cnn': 5, 'vulberta_mlp': 8}
122     } else {                                                                                       {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 56, 'vulberta_cnn': 46, 'vulberta_mlp': 33}
124         st->codec->extradata = av_mallocz(size + FF_INPUT_BUFFER_PADDING_SIZE);                    {'linevul': -1, 'codebert': -1, 'devign': 30, 'regvd': 3, 'vulberta_cnn': 2, 'vulberta_mlp': 5}
126         if (!st->codec->extradata)                                                                 {'linevul': -1, 'codebert': -1, 'devign': 6, 'regvd': 32, 'vulberta_cnn': 42, 'vulberta_mlp': 12}
128             return AVERROR(ENOMEM);                                                                {'linevul': -1, 'codebert': -1, 'devign': 34, 'regvd': 43, 'vulberta_cnn': 23, 'vulberta_mlp': 41}
130         avio_read(pb, st->codec->extradata, size);                                                 {'linevul': -1, 'codebert': -1, 'devign': 33, 'regvd': 4, 'vulberta_cnn': 56, 'vulberta_mlp': 3}
132         st->codec->extradata_size = size;                                                          {'linevul': -1, 'codebert': -1, 'devign': 39, 'regvd': 30, 'vulberta_cnn': 0, 'vulberta_mlp': 1}
134     }                                                                                              {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 60, 'vulberta_cnn': 19, 'vulberta_mlp': 50}
138     return 0;                                                                                      {'linevul': -1, 'codebert': -1, 'devign': 32, 'regvd': 55, 'vulberta_cnn': 25, 'vulberta_mlp': 49}
140 }                                                                                                  {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 59, 'vulberta_cnn': 53, 'vulberta_mlp': 48}
-----------------------
Highlighted lines: 
72         st->codec->extradata = av_mallocz(ALAC_HEADER + FF_INPUT_BUFFER_PADDING_SIZE);
116             avio_skip(pb, size - ALAC_NEW_KUKI);
124         st->codec->extradata = av_mallocz(size + FF_INPUT_BUFFER_PADDING_SIZE);
--------------------------------------------------------------------------------------------------------------
Example ids:  25413 project:  FFmpeg commit id:  80387f0e2568746dce4a68e2217297029a053dae Number of lines:  83 tground truth:  1
Original lines: 
Predicted Correctly by :  ['codebert', 'PLBART', 'devign', 'vulberta_cnn', 'vulberta_mlp']
0 static int mimic_decode_frame(AVCodecContext *avctx, void *data,                                             {'codebert': 0, 'PLBART': 0, 'devign': 11, 'vulberta_cnn': 48, 'vulberta_mlp': 23}
2                               int *data_size, AVPacket *avpkt)                                               {'codebert': 8, 'PLBART': 10, 'devign': 27, 'vulberta_cnn': 81, 'vulberta_mlp': 81}
4 {                                                                                                            {'codebert': 18, 'PLBART': 12, 'devign': -1, 'vulberta_cnn': 30, 'vulberta_mlp': 80}
6     const uint8_t *buf = avpkt->data;                                                                        {'codebert': 7, 'PLBART': 3, 'devign': 29, 'vulberta_cnn': 16, 'vulberta_mlp': 79}
8     int buf_size = avpkt->size;                                                                              {'codebert': 13, 'PLBART': 7, 'devign': 25, 'vulberta_cnn': 11, 'vulberta_mlp': 22}
